Livingroom_temp,Livingroom_Humidity,laundryRoom_Humidity,OfficeRoom_Humidity,BathRoom_Humidity,Outside_temp_building,Outside_humidity_building,IroningRoom_Humidity,Parentroom_temp,Parent_room_humidity,WeatherStn_Pressure,Windspeed,NSM,day_of_week,month,Energy
21.0,43.7,45.59,47.03,51.52,6.0,84.06,42.62666667,16.89,44.5,736.2166667,6.833333333,82200,0,1,80
21.0,43.59,45.545,46.52666667,51.23,5.966666667,84.79,42.76,16.89,44.5,736.3,7.0,82800,0,1,80
21.0,43.59,45.66333333,46.4,51.06,5.9,85.59666667,43.03,16.89,45.06666667,736.4,6.833333333,83400,0,1,80
21.0,43.7,45.73,46.43333333,50.93333333,5.763333333,86.26,43.16333333,16.89,45.26,736.5,6.666666667,84000,0,1,60
20.92666667,43.76,45.79,46.5675,50.86333333,5.623333333,86.59333333,43.4,16.89,45.43333333,736.6,6.5,84600,0,1,90
20.89,43.845,45.79,46.59,50.79,5.59,87.49666667,43.46666667,16.89,45.56,736.7,6.333333333,85200,0,1,80
20.79,43.79,45.65666667,46.79,50.66333333,5.59,87.89666667,43.62666667,16.89,45.62666667,736.8,6.166666667,85800,0,1,60
20.79,43.86333333,45.66333333,46.79,50.53,5.59,88.63333333,43.76,16.89,45.7,736.9,6.0,0,1,1,50
20.7,44.0,45.59,46.93333333,50.5,5.53,89.02666667,43.93333333,16.89,45.79,737.0,6.0,600,1,1,50
20.63333333,44.0,45.5,47.13333333,50.43333333,5.53,89.4,44.33333333,16.89,45.86333333,737.1,6.0,1200,1,1,60
20.6,44.03,45.5,47.23,50.36333333,5.53,89.19333333,44.96333333,16.89,45.9,737.2,6.0,1800,1,1,70
20.29,44.29,45.53,46.96666667,50.03,4.866666667,91.26,45.86333333,16.89,46.29,737.9,5.5,5400,1,1,50
20.23,44.29,45.5,46.22666667,50.09,4.726666667,91.59333333,45.82666667,16.89,46.43333333,738.0333333,5.333333333,6000,1,1,40
20.2,44.4,45.5,46.06,50.09,4.466666667,91.76,45.96666667,16.89,46.63333333,738.1666667,5.166666667,6600,1,1,50
20.2,44.46666667,45.5,45.93333333,50.1725,4.333333333,91.76,46.0,16.89,46.82666667,738.3,5.0,7200,1,1,40
20.1,44.53,45.425,45.9,50.2,4.156666667,91.83333333,46.0,16.96333333,46.96666667,738.4,4.833333333,7800,1,1,50
20.1,44.59,45.4,45.9,50.09,4.156666667,92.56666667,46.0,17.0,47.23,738.5,4.666666667,8400,1,1,50
20.0,44.43333333,45.5,45.9,50.09,4.333333333,93.53,46.06,17.0,47.36333333,738.6,4.5,9000,1,1,50
20.0,44.5,45.5,45.9,50.09,4.333333333,93.32333333,46.09,17.0,47.53,738.7,4.333333333,9600,1,1,40
20.0,44.5,45.4,45.9,50.09,4.19,93.12666667,45.96333333,17.0,47.66333333,738.8,4.166666667,10200,1,1,40
19.89,44.59,45.4,46.0,50.09,4.063333333,92.86666667,45.96666667,17.0,47.82666667,738.9,4.0,10800,1,1,30
19.82333333,44.53,45.46666667,46.0,50.09,3.863333333,92.96666667,45.96666667,17.0,47.9,739.0166667,4.333333333,11400,1,1,20
19.79,44.53,45.4,46.03,50.09,3.79,93.09333333,46.2,17.0,48.03,739.1333333,4.666666667,12000,1,1,20
19.79,44.53,45.4,46.16333333,50.03,3.895,94.045,46.2,17.0,48.09,739.25,5.0,12600,1,1,40
19.76,44.59,45.4,46.2,50.0,4.19,94.65666667,46.2,17.06666667,48.29,739.3666667,5.333333333,13200,1,1,50
19.7,44.59,45.5,46.26,50.0,4.263333333,94.79666667,46.12666667,17.06666667,48.36333333,739.4833333,5.666666667,13800,1,1,50
19.7,44.7,45.5,46.29,50.0,4.463333333,95.03,46.09,17.03333333,48.46333333,739.6,6.0,14400,1,1,40
19.63333333,44.62666667,45.5,46.29,50.0,4.59,95.03,45.92,17.03333333,48.59,739.65,5.833333333,15000,1,1,50
19.6,44.59,45.5,46.4,50.0,4.726666667,94.86666667,45.73,17.03333333,48.76666667,739.7,5.666666667,15600,1,1,40
19.6,44.59,45.5,46.46666667,50.0,4.8,94.72666667,45.7,17.03333333,48.9,739.75,5.5,16200,1,1,40
19.56666667,44.7,45.56,46.46666667,50.0,4.8,94.49333333,45.7,17.1,49.045,739.8,5.333333333,16800,1,1,40
19.5,44.7,45.59,46.46666667,50.0,4.8,94.22666667,45.59,17.1,49.2,739.85,5.166666667,17400,1,1,60
19.5,44.79,45.59,46.59,50.0,4.8,94.12666667,45.66333333,17.1,49.26,739.9,5.0,18000,1,1,50
19.42666667,44.73,45.59,46.66333333,49.975,4.8,94.0,45.59,17.1,49.29,739.9666667,4.833333333,18600,1,1,50
19.39,44.73,45.59,46.66333333,49.9,4.763333333,93.56333333,45.59,17.1,49.36333333,740.0333333,4.666666667,19200,1,1,40
19.39,44.79,45.59,46.59,49.9,4.763333333,94.02333333,45.62666667,17.1,49.43333333,740.1,4.5,19800,1,1,40
19.39,44.79,45.59,46.62666667,49.9,4.833333333,94.72666667,45.62666667,17.1,49.56,740.1666667,4.333333333,20400,1,1,40
19.39,44.79,45.59,46.7,49.9,4.833333333,95.0,45.59,17.1,49.62666667,740.2333333,4.166666667,21000,1,1,40
19.29,44.9,45.59,46.7,49.9,4.9,95.53,45.72333333,17.1,49.7,740.3,4.0,21600,1,1,50
19.29,44.925,45.59,46.7,49.93333333,4.9975,95.82,45.9,17.1,49.82666667,740.4333333,4.166666667,22200,1,1,80
19.29,45.0,45.59,46.7,50.0,5.09,96.03,45.96666667,17.1,49.96666667,740.5666667,4.333333333,22800,1,1,40
19.29,45.12666667,45.59,46.7,50.12666667,5.0,95.9,45.9,17.13333333,50.0,740.7,4.5,23400,1,1,30
19.218,45.2,45.5,46.7,50.2,5.0,95.96666667,45.82666667,17.2,50.0,740.8333333,4.666666667,24000,1,1,30
19.2,45.245,45.43333333,46.79,50.23,4.966666667,95.93333333,45.7225,17.2,50.0,740.9666667,4.833333333,24600,1,1,30
19.2,45.36333333,45.29,46.79,50.29,4.9,95.93333333,45.79,17.2,50.0,741.1,5.0,25200,1,1,50
19.2,45.4,45.29,46.79,50.42666667,4.933333333,96.09,45.86333333,17.2,50.09,741.2166667,5.0,25800,1,1,60
19.2,45.32666667,45.29,46.59666667,50.83333333,4.933333333,96.09,45.52,17.2,49.96333333,741.3333333,5.0,26400,1,1,80
19.175,45.195,45.29,46.29666667,51.26666667,5.0,96.09,45.14,17.2,49.72333333,741.45,5.0,27000,1,1,80
19.1,45.03,45.29,46.09,51.52666667,5.0,96.09,44.83333333,17.2,49.46333333,741.5666667,5.0,27600,1,1,90
19.1,45.0,45.29,45.96666667,51.82666667,5.0,96.09,44.56666667,17.15,48.995,741.6833333,5.0,28200,1,1,90
19.02222222,45.04444444,45.245,45.62666667,52.2,5.09,95.76,45.06333333,17.1,48.02666667,741.9666667,5.0,30000,1,1,100
19.1,45.2,45.2,45.52666667,52.4,5.0,95.45666667,44.45666667,17.1,47.76666667,742.05,5.0,30600,1,1,60
19.03333333,45.12666667,45.2,45.4,52.5,4.793333333,94.79,43.96,17.1,47.46666667,742.1333333,5.0,31200,1,1,60
19.0,45.09,45.2,45.36333333,52.56,4.466666667,94.19333333,43.56666667,17.03333333,47.26666667,742.2166667,5.0,31800,1,1,60
19.0,45.03,45.2,45.23,52.79,4.2975,94.45,43.1,17.0,46.93,742.3,5.0,32400,1,1,50
19.0,44.96666667,45.16333333,45.09,52.79,4.063333333,94.19333333,42.76666667,17.06666667,46.79,742.3833333,5.0,33000,1,1,60
19.0,44.82666667,45.09,44.96666667,52.76,4.03,94.66666667,42.43,17.03333333,46.59,742.4666667,5.0,33600,1,1,50
19.0,44.645,45.16333333,44.76666667,52.03333333,4.09,95.0,42.23,17.03333333,46.39,742.55,5.0,34200,1,1,30
18.96333333,44.56,44.96333333,44.66333333,50.9,4.123333333,95.39666667,41.96666667,17.0,46.16333333,742.6333333,5.0,34800,1,1,40
18.96333333,44.43333333,44.9,44.59,50.42666667,4.263333333,95.79666667,41.82666667,17.0,46.03,742.7166667,5.0,35400,1,1,30
19.0,44.36333333,44.86333333,45.56,49.56,5.156666667,96.5,41.4,17.0,45.46333333,743.05,5.0,37800,1,1,60
19.03333333,44.56666667,44.86333333,45.13333333,49.62666667,5.333333333,96.56,41.32666667,17.03333333,45.29,743.1333333,5.0,38400,1,1,60
19.03333333,44.56666667,44.79,44.86,49.56666667,5.4,96.29333333,41.26,17.03333333,45.23,743.2166667,5.0,39000,1,1,60
19.03333333,44.5,44.79,44.7,49.32666667,5.53,96.19,41.2,17.05,45.245,743.3,5.0,39600,1,1,50
19.1,44.5,44.79,44.62666667,49.32666667,5.796666667,96.19,41.02666667,17.1,45.29,743.3333333,5.333333333,40200,1,1,50
19.1,44.46666667,44.79,44.59,49.26,5.833333333,95.02333333,40.9,17.1,45.23,743.3666667,5.666666667,40800,1,1,50
19.1,44.4,44.79,44.46333333,49.12666667,5.966666667,94.56333333,40.7,17.1,45.2,743.4,6.0,41400,1,1,60
19.1,44.29,44.76,44.16333333,49.09,6.245,93.745,40.62666667,17.1,45.12666667,743.4333333,6.333333333,42000,1,1,60
19.15,44.245,44.7,44.03,49.0,6.433333333,91.23,40.46666667,17.1,45.2,743.4666667,6.666666667,42600,1,1,60
19.2,44.2,44.7,43.9,48.93333333,6.5,88.89666667,40.32666667,17.1,45.2,743.5,7.0,43200,1,1,60
19.2,43.7,44.79,44.09,50.398,7.433333333,82.33333333,39.66333333,17.1,44.7,743.5,7.0,46200,1,1,90
19.2,43.76,44.79,44.16333333,50.56,7.5,81.0,39.59,17.16666667,44.62666667,743.5,7.0,46800,1,1,60
19.1,43.48888889,44.9,43.5,51.0,7.623333333,78.73,39.565,17.1,44.29,743.5,7.833333333,49800,1,1,50
19.1,43.425,44.9,43.5,51.0,7.69,77.19666667,39.47666667,17.1,44.23,743.5,8.0,50400,1,1,60
19.1,43.334,44.9,43.46666667,51.0,7.56,76.32333333,39.275,17.1,44.2,743.55,7.5,51000,1,1,60
19.1,43.29,44.9,43.4,51.0,7.433333333,76.46333333,39.09,17.1,44.2,743.6,7.0,51600,1,1,60
19.0,43.2,44.9,43.06,51.0,6.966666667,78.82666667,39.0,17.1,43.93333333,743.75,5.5,53400,1,1,70
19.0,43.12666667,44.82666667,43.0,51.0,6.966666667,79.49,39.0,17.1,43.79,743.8,5.0,54000,1,1,50
19.0,43.09,44.9,43.06,51.0,6.833333333,78.75666667,39.0,17.1,43.79,743.8166667,4.833333333,54600,1,1,40
18.92666667,43.09,44.9,43.0,51.0,6.366666667,79.06,39.09,17.1,43.7,743.8333333,4.666666667,55200,1,1,40
